sku,type,variant key,Product name,Product description,Product key,category,Product price mode,brand,Premium Wet Pet Food,Premium Dry Pet Food,weight,price EUR,price PLN, price GBP,url
K-H-KH-BC1,KHK002,pet-healthcare,cat_healthcare,B-Calm CBD Calming Cat Bedding Spray30ml,cat_healthcare_002,Cat > Healthcare & Treatments,B-Calm,30,"EUR",12,"PLN",50,"GBP",10,cat_healthcare2
K-H-KH-YM1,KHK003,pet-healthcare,cat_healthcare,YuMOVE Skin & Coat Care Moulting For All Cats 50ml,cat_healthcare_003,Cat > Healthcare & Treatments,YuMOVE,50,"EUR",7,"PLN",30,"GBP",6,cat_healthcare3
K-H-KH-AV1,KHK004,pet-healthcare,cat_healthcare,AniVatio ProJoint Salmon Oral Gel for Cats,cat_healthcare_004,Cat > Healthcare & Treatments,AniVatio,60,"EUR",47,"PLN",200,"GBP",40,cat_healthcare4
K-H-KH-PH1,KHK005,pet-healthcare,cat_healthcare,Pets at Home Calming & Conditioning Cat Shampoo 200ml,cat_healthcare_005,Cat > Healthcare & Treatments,Pets at Home,200,"EUR",6,"PLN",25,"GBP",5,cat_healthcare5

//Rabbit
R-F-RF-PH1,RFF001,"pet-food",rabbit_food,Pets at Home Nutri Pressed Adult Rabbit Food Nuggets 10kg,rabbit_food_001,Small animal>Rabbit,Pets at Home,10,"EUR",15,"PLN",75,"GBP",15,fish_food1
R-F-RF-BE1,RFF002,"pet-food",rabbit_food,Burgess Excel Timothy Feeding Hay Dandelion & Marigold 1kg,rabbit_food_002,Small animal>Rabbit,Burgess Excel,1,"EUR",10,"PLN",40,"GBP",8,fish_food2
R-F-RF-BE2,RFF003,"pet-food",rabbit_food,Burgess Excel Junior & Dwarf Rabbit Nuggets 3kg,rabbit_food_003,Small animal>Rabbit,Burgess Excel,3,"EUR",11,"PLN",45,"GBP",9,fish_food3

R-T-RT-PH1,RTT001,pet-treats,rabbit_treats,Pets at Home Small Animal Biscuit Bites Treats with Maple Syrup 60g,rabbit_treats_001,Small animal>Rabbit,Pets at Home,0.06,"EUR",4,"PLN",10,"GBP",2,rabbit_treats1
R-T-RT-PH2,RTT002,pet-treats,rabbit_treats,Pets at Home Small Animal Biscuit Bites Treats with Carrot & Apple 60g,rabbit_treats_002,Small animal>Rabbit,Pets at Home,0.06,"EUR",4,"PLN",10,"GBP",2,rabbit_treats2
R-T-RT-PH3,RTT003,pet-treats,rabbit_treats,Pets at Home Small Animal Biscuit Bites Treats with Strawberry 60g,rabbit_treats_003,Small animal>Rabbit,Pets at Home,0.06,"EUR",4,"PLN",10,"GBP",2,rabbit_treats3
R-T-RT-SN1,RTT004,pet-treats,rabbit_treats,Selective Naturals Country Loops Small Animal Treats with Carrot & Timothy Hay 80g,rabbit_treats_004,Small animal>Rabbit,Selective Naturals,0.08,"EUR",4,"PLN",15,"GBP",3,rabbit_treats4
R-T-RT-SN2,RTT005,pet-treats,rabbit_treats,Selective Naturals Orchard Loops Small Animal Treats with Timothy Hay & Apple 80g,rabbit_treats_005,Small animal>Rabbit,Selective Naturals,0.08,"EUR",4,"PLN",15,"GBP",3,rabbit_treats4

